united states,tag,,,currency,id,,symbol
united states,gochain,,,USD,1116168,,GO
united states,,,,,,,BONDLY
united states,,,,,,,BOR
united states,,,,,,,XSN
united states,,,,,,,vBUSD
united states,,,,,,,ANY
united states,crypto-com,,,USD,1061781,,MCO
united states,,,,,,,QTCON
united states,nav-coin,,,USD,1061834,,NAV
united states,,,,,,,TEMCO
united states,,,,,,,AGA
united states,,,,,,,KP3R
united states,propy,,,USD,1077039,,PRO
united states,,,,,,,DIGG
united states,skycoin,,,USD,1061798,,SKY
united states,casinocoin,,,USD,1094197,,CSC
united states,dentacoin,,,USD,1056750,,DCN
united states,hypercash,,,USD,1066622,,HC
united states,,,,,,,REW
united states,,,,,,,BIP
united states,,,,,,,NPXSXEM
united states,,,,,,,ICHI
united states,btu-protocol,,,USD,1141245,,BTU
united states,,,,,,,MITX
united states,dmarket,,,USD,1093950,,DMT
united states,,,,,,,aEth
united states,,,,,,,DHT
united states,mithril,,,USD,1094136,,MITH
united states,nxt,,,USD,1061459,,NXT
united states,,,,,,,HAI
united states,,,,,,,FIS
united states,phantasma,,,USD,1129451,,SOUL
united states,,,,,,,CORE
united states,,,,,,,DAWN
united states,,,,,,,HUNT
united states,,,,,,,MOF
united states,,,,,,,BFC
united states,latoken,,,USD,1071254,,LA
united states,,,,,,,DSLA
united states,,,,,,,USDX
united states,,,,,,,FIDA
united states,,,,,,,BZ
united states,,,,,,,BASIC
united states,,,,,,,MPH
united states,,,,,,,GAL
united states,0chain,,,USD,1088157,,ZCN
united states,,,,,,,BEPRO
united states,,,,,,,SHROOM
united states,,,,,,,FCT
united states,,,,,,,MIX
united states,steem-dollars,,,USD,1094203,,SBD
united states,,,,,,,ONOT
united states,,,,,,,JULD
united states,wirex-token,,,USD,1141722,,WXT
united states,,,,,,,VRSC
united states,flexacoin,,,USD,1135966,,FXC
united states,,,,,,,OCTO
united states,,,,,,,COVER
united states,,,,,,,KAN
united states,sentivate,,,USD,1165466,,SNTVT
united states,,,,,,,DAD
united states,,,,,,,XRT
united states,,,,,,,DF
united states,all-sports,,,USD,1094133,,SOC
united states,,,,,,,MUSE
united states,,,,,,,FWT
united states,,,,,,,MUSD
united states,,,,,,,SLT
united states,neblio,,,USD,1062878,,NEBL
united states,,,,,,,MXX
united states,apollo-currency,,,USD,1097747,,APL
united states,,,,,,,CUSD
united states,,,,,,,POLK
united states,,,,,,,PEAK
united states,,,,,,,EASY
united states,,,,,,,HELMET
united states,crpt,,,USD,1094144,,CRPT
united states,,,,,,,UFT
united states,grin,,,USD,1142594,,GRIN
united states,,,,,,,RFUEL
united states,project-pai,,,USD,1123471,,PAI
united states,,,,,,,MTA
united states,presearch,,,USD,1071201,,PRE
united states,,,,,,,BOT
united states,,,,,,,SUTER
united states,,,,,,,SERO
united states,,,,,,,ORAI
united states,vertcoin,,,USD,1066639,,VTC
united states,wabi,,,USD,1066659,,WABI
united states,,,,,,,EFX
united states,veritaseum,,,USD,1061823,,VERI
united states,nucleus-vision,,,USD,1072240,,NCASH
united states,,,,,,,TLOS
united states,amber,,,USD,1066669,,AMB
united states,tenx,,,USD,1061784,,PAY
united states,raiden-network-token,,,USD,1061525,,RDN
united states,tokenclub,,,USD,1094186,,TCT
united states,bnktothefuture,,,USD,1093979,,BFT
united states,,,,,,,LABS
united states,,,,,,,RAZOR
united states,,,,,,,DVC
united states,,,,,,,ROOM
united states,,,,,,,WHITE
united states,,,,,,,ANW
united states,,,,,,,CWS
united states,,,,,,,LAYER
united states,,,,,,,SAKE
united states,bankera,,,USD,1081631,,BNK
united states,,,,,,,RBTC
united states,,,,,,,DMCH
united states,digixdao,,,USD,1061791,,DGD
united states,dovu,,,USD,1072134,,DOV
united states,,,,,,,EGG
united states,metahash,,,USD,1141877,,MHC
united states,,,,,,,LTX
united states,,,,,,,RINGX
united states,te-food,,,USD,1089394,,TONE
united states,,,,,,,APY
united states,gifto,,,USD,1066592,,GTO
united states,pchain,,,USD,1094110,,PI
united states,circuits-of-value,,,USD,1071234,,COVAL
united states,,,,,,,FST
united states,,,,,,,ADK
united states,credits,,,USD,1072425,,CS
united states,,,,,,,mTSLA
united states,appcoins,,,USD,1066541,,APPC
united states,,,,,,,ULT
