country,name,full_name,,tag,id,isin,symbol,currency,stock_exchange,def_stock_exchange
united kingdom,Vanguard EUR Corporate Bond,Vanguard EUR Corporate Bond UCITS,,vanguard-eur-corporate-bond?cid=986860,986860,IE00BZ163G84,VECP,GBP,London,FALSE
united kingdom,Vanguard FTSE North America,Vanguard FTSE North America UCITS USD,,vanguard-ftse-north-america?cid=986873,986873,IE00BKX55R35,VNRT,GBP,London,FALSE
united kingdom,Vanguard USD Treasury Bd,Vanguard USD Treasury Bond UCITS USD,,vanguard-usd-treasury-bd-l?cid=986886,986886,IE00BZ163M45,VDTY,USD,London,FALSE
united kingdom,Vanguard FTSE North America,Vanguard FTSE North America UCITS USD,,vanguard-ftse-north-america?cid=986874,986874,IE00BKX55R35,VDNR,USD,London,FALSE
united kingdom,Vanguard Global Liquidity Factor,Vanguard Global Liquidity Factor UCITS,,vanguard-global-liquidity-factor-as?cid=986875,986875,IE00BYYR0D71,VLIQ,GBP,London,FALSE
united kingdom,Vanguard Global Min Volatility,Vanguard Global Minimum Volatility UCITS USD,,vanguard-global-min-volatility-l?cid=986878,986878,IE00BYYR0C64,VDMV,USD,London,FALSE
united kingdom,Vanguard FTSE Dev World,Vanguard FTSE Developed World UCITS,,vanguard-ftse-developed-world-l?cid=976559,976559,IE00BKX55T58,VDEV,USD,London,FALSE
united kingdom,Vanguard Global Liquidity Factor,Vanguard Global Liquidity Factor UCITS,,vanguard-global-liquidity-factor-as?cid=986876,986876,IE00BYYR0D71,VDLQ,USD,London,FALSE
united kingdom,Vanguard FTSE Developed Europe,Vanguard FTSE Developed Europe UCITS,,vanguard-ftse-developed-europe?cid=986868,986868,IE00B945VV12,VEUD,USD,London,FALSE
united kingdom,Vanguard DAX UCITS,Vanguard DAX UCITS,,vanguard-dax-ucits,1089543,IE00BG143G97,VDXX,GBP,London,TRUE
united kingdom,Vanguard FTSE All-World UCITS USD Acc,Vanguard FTSE All-World UCITS ETF USD Accumulation,,vanguard-ftse-all-world-ucits-acc?cid=1142367,1142367,IE00BK5BQT80,VWRP,USD,London,FALSE
united kingdom,Vanguard FTSE 100 UCITS GBP Acc,Vanguard FTSE 100 UCITS GBP Acc,,vanguard-ftse-100-ucits-gbp-acc,1131591,IE00BFMXYP42,VUKG,GBP,London,TRUE
