country,name,full_name,tag,,id,currency,symbol,market
world,N  Financials EUR PI,N  Financials EUR PI,n--financials-eur-pi,,957194,SEK,N8000EURPI,global_indices
world,NQ OMX Nordic Energy,NASDAQ OMX Nordic Energy,nq-omx-nordic-energy,,957219,EUR,NOMXNEN,global_indices
world,N  Utilities EUR PI,N  Utilities EUR PI,n--utilities-eur-pi,,957193,SEK,N7000EURPI,global_indices
world,N  Retail EUR PI,N  Retail EUR PI,n--retail-eur-pi,,957189,SEK,N5300EURPI,global_indices
world,N  Consumer Services EUR PI,N  Consumer Services EUR PI,n--consumer-services-eur-pi,,957188,SEK,N5000EURPI,global_indices
world,N  Health Care EUR PI,N  Health Care EUR PI,n--health-care-eur-pi,,957187,SEK,N4000EURPI,global_indices
world,N Personal & Household Goods EUR PI,N Personal & Household Goods EUR PI,n--personal---household-goods-eur,,957186,SEK,N3700EURPI,global_indices
world,N  Food & Beverage EUR PI,N  Food & Beverage EUR PI,n--food---beverage-eur-pi,,957185,SEK,N3500EURPI,global_indices
world,N  Automobiles & Parts EUR PI,N  Automobiles & Parts EUR PI,n--automobiles---parts-eur-pi,,957184,SEK,N3300EURPI,global_indices
world,N  Consumer Goods EUR PI,N  Consumer Goods EUR PI,n--consumer-goods-eur-pi,,957183,SEK,N3000EURPI,global_indices
world,N Industrial Goods & Services EUR PI,N Industrial Goods & Services EUR PI,n--industrial-goods---services-eur,,957182,SEK,N2700EURPI,global_indices
world,N  Construction & Materials EUR PI,N  Construction & Materials EUR PI,n--construction---materials-eur-pi,,957181,SEK,N2300EURPI,global_indices
world,N  Telecommunications EUR PI,N  Telecommunications EUR PI,n--telecommunications-eur-pi,,957192,SEK,N6000EURPI,global_indices
world,N  Industrials EUR PI,N  Industrials EUR PI,n--industrials-eur-pi,,957180,SEK,N2000EURPI,global_indices
world,NQ OMX Nordic Health Care,NASDAQ OMX Nordic Health Care,nq-omx-nordic-health-care,,957220,EUR,NOMXNHC,global_indices
world,NQ OMX Nordic Materials,NASDAQ OMX Nordic Materials,nq-omx-nordic-materials,,957223,EUR,NOMXNMA,global_indices
world,FTSE CNBC Global 300 Automobiles & Parts,FTSE CNBC Global 300 Automobiles & Parts,ftse-cnbc-global-300-auto-parts,,961383,USD,FTFCNBCG3300,global_indices
world,FTSE CNBC Global 300 Industrial Goods & Services,FTSE CNBC Global 300 Industrial Goods & Services,ftse-cnbc-global-300-ind-goods-serv,,961382,USD,FTFCNBCG2700,global_indices
world,FTSE CNBC Global 300 Construction & Materials,FTSE CNBC Global 300 Construction & Materials,ftse-cnbc-global-300-constr-mater,,961381,USD,FTFCNBCG2300,global_indices
world,FTSE CNBC Global 300 Basic Resources,FTSE CNBC Global 300 Basic Resources,ftse-cnbc-global-300-basic-resource,,961380,USD,FTFCNBCG1700,global_indices
world,FTSE CNBC Global 300 Chemicals,FTSE CNBC Global 300 Chemicals,ftse-cnbc-global-300-chemicals,,961379,USD,FTFCNBCG1300,global_indices
world,FTSE CNBC Global 300 Oil & Gas,FTSE CNBC Global 300 Oil & Gas,ftse-cnbc-global-300-oil---gas,,961378,USD,FTFCNBCG0500,global_indices
world,FTSE CNBC Asia 100 Technology,FTSE CNBC Asia 100 Technology,ftse-cnbc-asia-100-technology,,961376,USD,FTFCNBCA9000,global_indices
world,FTSE CNBC Asia 100 Financials,FTSE CNBC Asia 100 Financials,ftse-cnbc-asia-100-financials,,961375,USD,FTFCNBCA8000,global_indices
world,FTSE CNBC Asia 100 Utilities,FTSE CNBC Asia 100 Utilities,ftse-cnbc-asia-100-utilities,,961374,USD,FTFCNBCA7000,global_indices
world,NQ OMX Nordic Industrials,NASDAQ OMX Nordic Industrials,nq-omx-nordic-industrials,,957222,EUR,NOMXNIN,global_indices
world,FTSE CNBC Asia 100 Telecommunications,FTSE CNBC Asia 100 Telecommunications,ftse-cnbc-asia-100-telecom,,961373,USD,FTFCNBCA6000,global_indices
world,FTSE CNBC Asia 100 Health Care,FTSE CNBC Asia 100 Health Care,ftse-cnbc-asia-100-health-care,,961371,USD,FTFCNBCA4000,global_indices
world,FTSE CNBC Asia 100 Consumer Goods,FTSE CNBC Asia 100 Consumer Goods,ftse-cnbc-asia-100-consumer-goods,,961370,USD,FTFCNBCA3000,global_indices
world,FTSE CNBC Asia 100 Industrials,FTSE CNBC Asia 100 Industrials,ftse-cnbc-asia-100-industrials,,961369,USD,FTFCNBCA2000,global_indices
world,FTSE CNBC Asia 100 Basic Materials,FTSE CNBC Asia 100 Basic Materials,ftse-cnbc-asia-100-basic-materials,,961368,USD,FTFCNBCA1000,global_indices
world,FTSE CNBC Asia 100 Oil and Gas,FTSE CNBC Asia 100 Oil and Gas,ftse-cnbc-asia-100-oil-and-gas,,961367,USD,FTFCNBCA0001,global_indices
world,FTSEurofirst Oil & Gas,FTSEurofirst Oil & Gas,ftseurofirst-oil---gas,,961230,EUR,FTE0500,global_indices
world,STOXX Europe 600 Real Estate Price,STOXX Europe 600 Real Estate Price,stoxx-europe-600-real-estate-price,,961124,EUR,SX86P,global_indices
world,NQ OMX Nordic Transportation,NASDAQ OMX Nordic Transportation,nq-omx-nordic-transportation,,957225,EUR,NOMXNTP,global_indices
world,NQ OMX Nordic Telecom & InfoTech,NASDAQ OMX Nordic Telecom & InfoTech,nq-omx-nordic-telecom---infotech,,957224,EUR,NOMXNTI,global_indices
world,FTSE CNBC Asia 100 Consumer Services,FTSE CNBC Asia 100 Consumer Services,ftse-cnbc-asia-100-consumer-servic,,961372,USD,FTFCNBCA5000,global_indices
world,FTSE CNBC Global 300 Food & Beverage,FTSE CNBC Global 300 Food & Beverage,ftse-cnbc-global-300-food-beverage,,961384,USD,FTFCNBCG3500,global_indices
world,N  Basic Resources EUR PI,N  Basic Resources EUR PI,n--basic-resources-eur-pi,,957179,SEK,N1700EURPI,global_indices
world,N  Basic Materials EUR PI,N  Basic Materials EUR PI,n--basic-materials-eur-pi,,957177,SEK,N1000EURPI,global_indices
world,OMX Baltic Industrial Goods & Services PI,OMX Baltic Industrial Goods & Services PI,omx-baltic-indust-goods---services,,957054,EUR,B2700PI,global_indices
world,OMX Baltic Construction & Materials PI,OMX Baltic Construction & Materials PI,omx-baltic-construction---materials,,957053,EUR,B2300PI,global_indices
world,OMX Baltic Industrials PI,OMX Baltic Industrials PI,omx-baltic-industrials-pi,,957052,EUR,B2000PI,global_indices
world,OMX Baltic Basic Resources PI,OMX Baltic Basic Resources PI,omx-baltic-basic-resources-pi,,957051,EUR,B1700PI,global_indices
world,OMX Baltic Chemicals PI,OMX Baltic Chemicals PI,omx-baltic-chemicals-pi,,957050,EUR,B1300PI,global_indices
world,OMX Baltic Basic Materials PI,OMX Baltic Basic Materials PI,omx-baltic-basic-materials-pi,,957049,EUR,B1000PI,global_indices
world,BNY Mellon International Telecom 35 ADR,BNY Mellon International Telecom 35 ADR,bny-international-telecom-35-adr,,956167,USD,BKTTL,global_indices
world,BNY Mellon Telecommunications Classic ADR TR,BNY Mellon Telecommunications Classic ADR Total Return,bny-telecommunicat-classic-adr-tr,,956155,USD,BKCTCT,global_indices
world,BNY Mellon Latin Telecom ADR TR,BNY Mellon Latin Telecom ADR Total Return,bny-latin-telecom-adr-tr,,956150,USD,BKLTLT,global_indices
world,OMX Baltic Consumer Goods PI,OMX Baltic Consumer Goods PI,omx-baltic-consumer-goods-pi,,957055,EUR,B3000PI,global_indices
world,BNY Mellon Consumer Goods Classic ADR TR,BNY Mellon Consumer Goods Classic ADR Total Return,bny-consumer-goods-classic-adr-tr,,956149,USD,BKCGCT,global_indices
world,BNY Mellon Industrials Classic ADR TR,BNY Mellon Industrials Classic ADR Total Return,bny-industrials--classic-adr-tr,,956143,USD,BKCIUT,global_indices
world,BNY Mellon Oil & Gas Classic ADR TR,BNY Mellon Oil & Gas Classic ADR Total Return,bny-oil---gas-classic-adr-tr,,956138,USD,BKCOGT,global_indices
world,BNY Mellon International Telecom 35 ADR TR,BNY Mellon International Telecom 35 ADR Total Return,bny-international-telecom-35-adr-tr,,956133,USD,BKTTLT,global_indices
world,BNY Mellon Health Care Classic ADR TR,BNY Mellon Health Care Classic ADR Total Return,bny-health-care-classic-adr-tr,,956126,USD,BKCHCT,global_indices
world,BNY Mellon Technology Classic ADR TR,BNY Mellon Technology Classic ADR Total Return,bny-technology-classic-adr-tr,,956116,USD,BKCTET,global_indices
world,BNY Mellon Basic Materials Classic ADR TR,BNY Mellon Basic Materials Classic ADR Total Return,bny-basic-materials-classic-adr-tr,,956101,USD,BKCBMT,global_indices
world,BNY Mellon Financials Classic ADR TR,BNY Mellon Financials Classic ADR Total Return,bny-financials-classic-adr-tr,,956092,USD,BKCFNT,global_indices
world,BNY Mellon Consumer Services Classic ADR TR,BNY Mellon Consumer Services Classic ADR Total Return,bny-consumer-service-classic-adr-tr,,956091,USD,BKCSCT,global_indices
world,BNY Mellon Technology Classic ADR,BNY Mellon Technology Classic ADR,bny-technology-classic-adr,,956084,USD,BKCTE,global_indices
world,BNY Mellon Utilities Classic ADR TR,BNY Mellon Utilities Classic ADR Total Return,bny-utilities-classic-adr-tr,,956145,USD,BKCUTT,global_indices
world,N  Chemicals EUR PI,N  Chemicals EUR PI,n--chemicals-eur-pi,,957178,SEK,N1300EURPI,global_indices
world,OMX Baltic Automobiles & Parts PI,OMX Baltic Automobiles & Parts PI,omx-baltic-automobiles---parts-pi,,957056,EUR,B3300PI,global_indices
world,OMX Baltic Personal & Household Goods PI,OMX Baltic Personal & Household Goods PI,omx-baltic-personal---hshold-goods,,957058,EUR,B3700PI,global_indices
world,N  Oil & Gas EUR PI,N  Oil & Gas EUR PI,n--oil---gas-eur-pi,,957176,SEK,N0001EURPI,global_indices
